Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
97675455;Ático en Paseo de La Habana;Ático;"ÁTICO CON JARDÍN Y PISCINA PRIVADA, en urbanización de reciente construcción con seguridad 24h, control de acceso a visitantes. Probablemente el mejor edificio de la zona, con zonas comunes de jardín y piscina (Además del jardín y piscina que tiene el propio piso en su terraza) Piso de 590m2 con 400m2 de terraza y 3 plazas de garaje. El piso está distribuida de la siguiente manera Planta de Jardín y Piscina (5º Planta) En esta planta el piso goza de una gran terraza con mucha privacidad, donde nos encontramos un jardín (con césped natural y arboles), piscina, zona amplia de Chill Out techado con chimenea de exterior y comedor exterior. Planta de acceso (4º Planta): Planta totalmente diáfana con varios salones, comedor, cocina de GAGGENAU y aseo de cortesía. Terraza perimetral ancha, donde se pueden poner mesas de comedor exterior y hacer vida.  Planta de dormitorios (3º Planta). 3 plazas de garajes incluidas en el precio. DISPONEMOS DE UNA GRAN OFERTA DE PROPIEDADES EN EXCLUSIVA, QUE NO ESTÁN PUBLICADAS EN PORTALES INMOBILIARIOS. CONSULTE NUESTRA PÁGINA WEB “JAIME VALCARCE.""";919384471;Paseo de La Habana;5800000;4;Nueva España, Madrid;Jaime Valcarce Consulting Inmobiliario;Profesional;Nueva España;Madrid;Chamartín;-;9831;590;5;4;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
97396480;Piso en Alberto Alcocer;Piso;Carla Mora de GV | NUEVA ESPAÑA comercializa el siguiente inmueble: Maravilloso piso de 310 metros cuadrados en una de las mejores calle de Nueva España. Destacar sus amplios espacios y su luz, gracias a sus grandes ventanales, y el encanto de la chimenea en el salón, hacen sin duda que sea un espacio de luz y confort como pocos en pleno centro de Madrid. Hall de entrada de grandes dimensiones que da paso a un amplio salón con chimenea, con comedor independiente, ambos muy luminosos gracias a sus grandes ventanales. Aseo de cortesía.   Cocina con office y zona de lavado, todo equipado con electrodomésticos de alta gama. Habitación de servicio con baño.   Zona privada:   3 habitaciones, todas con amplio baño en suite, armarios empotrados y grandes ventanales.   Dos plazas de garaje y trastero (7m2 aprox), incluido en el precio. El edificio cuenta con dos ascensores, el principal y el de servicio.   Seguridad 24H los 365 días del año. Piscina y jardín comunitario Gimnasio Un porcentaje importante de nuestros inmuebles no aparecen publicados en idealista por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.;626476108;Alberto Alcocer;2300000;4;Nueva España, Madrid;GV | Real Estate;Profesional;Nueva España;Madrid;Chamartín;-;7419;310;5;3;Sí;No;Sí;No;Sí;Sí;Sí;Sí;Sí
97466696;Piso en Calle de Alfonso Rodríguez Santamaría;Piso;Lucía Suárez-Zuloaga de GV | EL VISO comercializa el siguiente inmueble: Espléndido piso de 463 metros cuadrados en El Viso. Luminoso, con cuatro orientaciones y dos amplias terrazas. Dispone de jardín y piscina comunitarios. Gran zona de recibo con varios salones y comedor independiente. Ideal para actualizar y convertir en una vivienda de gran lujo en una de las zonas más demandadas y cotizadas de Madrid. Residencial y tranquilo pero a un paso de grandes áreas de ocio y comerciales. Distribución: Hall de entrada. Aseo de visitas. Salón. Comedor. Despacho. Cuarto de estar. Terraza. Cuarto de dormir principal con vestidor y cuarto de baño en suite. Dos cuartos de dormir con cuarto de baño en suite. Terraza. Cocina. Office. Despensa. Cuarto de plancha. Habitación de servicio con cuarto de baño. Dos plazas de garaje. Trastero. Un porcentaje importante de nuestros inmuebles no aparecen publicados en idealista por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.;917365385;Calle de Alfonso Rodríguez Santamaría;2500000;4;El Viso, Madrid;GV | Real Estate;Profesional;El Viso;Madrid;Chamartín;-;5400;463;5;1;Sí;No;Sí;Sí;Sí;Sí;No;Sí;Sí
100988840;Chalet pareado;Chalet;PROMORA MADRID Les ofrece en EXCLUSIVA, este chalet pareado, en barrio de Chamartín, zona Hispanoamérica, de 260 m², 4 dormitorios, 4 baños, salón, comedor, y sala de estar. Jardín y piscina privados. Enlace Tour virtual:  Exclusivo chalet pareado, en una colonia residencial y tranquila en la zona de Alfonso XIII, distribuido en tres plantas, una bajo rasante en la que se encuentra un apartamento independiente con su porche, se compone de un amplio dormitorio con baño en suite, cocina y salón-comedor.  En planta Principal encontramos salón con chimenea, aseo de cortesía, sala de estar y cocina completa.  La planta superior se compone de un total de tres amplios dormitorios, con tres baños, (dos de ellos en suite) El chalet está dentro de una luminosa parcela de 258 m², con jardín y piscina privada. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS. “El distrito de Chamartín se encuentra situado en la zona noreste de Madrid. Distrito muy dinámico que discurre a lo largo del Paseo de la Castellana, eje central y centro neurálgico de la actividad empresarial de la capital madrileña en el que conviven diferentes estilos de vida y en el que destacan sus grandes avenidas, zonas residenciales, edificios oficiales, ministerios, embajadas, museos, auditorios de música, etc. El distrito se divide en seis barrios con características muy diferentes entre ellos, desde las zonas residenciales de lujo más exclusivas como El Viso o Nueva España hasta configuración típica de barrio como Prosperidad o Ciudad Jardín. Castilla e Hispanoamérica son el resto de barrios que conforman este emblemático distrito madrileño. En definitiva, se trata de un distrito ideal para aquellas personas que demandan vivienda de calidad sumada a una amplia gama de servicios, comercios, colegios, instalaciones deportivas, hoteles, oferta gastronómica y de ocio, hospitales, clínicas y una amplia red de transporte público. Lejos de quedarse anclado en el tiempo, el desarrollo empresarial e inmobiliario en la zona de la estación de Chamartín con la futura Operación Chamartín, auguran un futuro prometedor para inversores y particulares que quieran establecerse en esta zona de la capital. ”.;914310431;barrio Bernabéu-Hispanoamérica;1890000;4;Bernabéu-Hispanoamérica, Madrid;Promora Madrid;Profesional;Bernabéu-Hispanoamérica;Madrid;Chamartín;-;7269;260;5;-;No;No;Sí;No;No;No;Sí;No;No
100146519;Chalet adosado;Chalet;PROMORA MADRID vende chalet adosado para reformar en barrio de Chamartín, zona El Viso, de 410 m² distribuidos en cuatro plantas. Enlace Tour Virtual: En la zona más tranquila y residencial del El Viso, se encuentra este chalet con jardín y piscina privada. La vivienda se distribuye en cuatro plantas con la particularidad de que cada una de ellas tiene una REFERENCIA CATASTRAL INDEPENDIENTE, condición esta que le confiere un enorme potencial ya que se le pueden dar diferentes configuraciones, dejarlo como chalet unifamiliar, dividirlo en dos viviendas dúplex independientes, etc. La distribución actual es la siguiente: -Planta sótano-garaje con capacidad para 3/4 vehículos. Dispone de baños y vestuarios desde los que se accede a la piscina. -Planta baja a la que accedemos desde la calle y que nos da paso al salón, comedor, cocina y dos dormitorios con dos baños, uno de ellos en suite. Desde el salón tenemos paso al estupendo jardín y la piscina. También en esta planta tenemos una plaza de parking exterior. -Planta primera, con dos dormitorios, dos baños, biblioteca, cocina, zona de lavandería/plancha y una soleada terraza. -Planta segunda, con otros dos dormitorios, un baño, y una estancia independiente configurado como estudio-dormitorio, totalmente exterior y con acceso a una estupenda terraza con orientación sureste.   MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS. El distrito de Chamartín se encuentra situado en la zona noreste de Madrid. Distrito muy dinámico que discurre a lo largo del Paseo de la Castellana, eje central y centro neurálgico de la actividad empresarial de la capital madrileña en el que conviven diferentes estilos de vida y en el que destacan sus grandes avenidas, zonas residenciales, edificios oficiales, ministerios, embajadas, museos, auditorios de música, etc. El distrito se divide en seis barrios con características muy diferentes entre ellos, desde las zonas residenciales de lujo más exclusivas como El Viso o Nueva España hasta configuración típica de barrio como Prosperidad o Ciudad Jardín. Castilla e Hispanoamérica son el resto de barrios que conforman este emblemático distrito madrileño. En definitiva, se trata de un distrito ideal para aquellas personas que demandan vivienda de calidad sumada a una amplia gama de servicios, comercios, colegios, instalaciones deportivas, hoteles, oferta gastronómica y de ocio, hospitales, clínicas y una amplia red de transporte público. Lejos de quedarse anclado en el tiempo, el desarrollo empresarial e inmobiliario en la zona de la estación de Chamartín con la futura Operación Chamartín, auguran un futuro prometedor para inversores y particulares que quieran establecerse en esta zona de la capital.;914310431;barrio El Viso;3200000;7;El Viso, Madrid;Promora Madrid;Profesional;El Viso;Madrid;Chamartín;-;7805;410;5;-;No;No;Sí;No;Sí;Sí;Sí;No;No
101133402;Piso;Piso;PROMORA MADRID vende piso en barrio de Chamartín, zona El Viso, 265 m², 5 dormitorios, 3 baños, y aseo de cortesía. Portero en finca, trastero y plaza de garaje. Enlace Tour Virtual: Piso en planta sexta, con mucha luz y en muy buen estado de conservación, dentro de una urbanización privada con conserje, trastero y garaje en finca. Si la distribución le encaja al futuro propietario, simplemente habría que hacerle un lavado de cara o una actualización ya que se reformó íntegramente en 2008. La entrada a la vivienda es a través de un amplio hall recibidor que da paso por un lado al salón, con comedor y sala de estar independientes. Junto al salón tenemos una terraza muy soleada gracias a su orientación sur que le garantiza luz y calor natural durante gran parte del día. Y por otro lado nos conduce a la zona de descanso formada por cuatro dormitorios, y tres baños, uno de ellos en suite en el dormitorio principal. Cocina de gran tamaño con tendero, lavadero y dormitorio de servicio con baño incorporado. La vivienda dispone de trastero y plaza de garaje muy grande en finca. Portero en finca con un amplio horario. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS. El distrito de Chamartín se encuentra situado en la zona noreste de Madrid. Distrito muy dinámico que discurre a lo largo del Paseo de la Castellana, eje central y centro neurálgico de la actividad empresarial de la capital madrileña en el que conviven diferentes estilos de vida y en el que destacan sus grandes avenidas, zonas residenciales, edificios oficiales, ministerios, embajadas, museos, auditorios de música, etc. El distrito se divide en seis barrios con características muy diferentes entre ellos, desde las zonas residenciales de lujo más exclusivas como El Viso o Nueva España hasta configuración típica de barrio como Prosperidad o Ciudad Jardín. Castilla e Hispanoamérica son el resto de barrios que conforman este emblemático distrito madrileño. En definitiva, se trata de un distrito ideal para aquellas personas que demandan vivienda de calidad sumada a una amplia gama de servicios, comercios, colegios, instalaciones deportivas, hoteles, oferta gastronómica y de ocio, hospitales, clínicas y una amplia red de transporte público. Lejos de quedarse anclado en el tiempo, el desarrollo empresarial e inmobiliario en la zona de la estación de Chamartín con la futura Operación Chamartín, auguran un futuro prometedor para inversores y particulares que quieran establecerse en esta zona de la capital.;914310431;barrio El Viso;2300000;5;El Viso, Madrid;Promora Madrid;Profesional;El Viso;Madrid;Chamartín;-;8984;256;5;6;Sí;No;No;No;Sí;Sí;Sí;Sí;No
99242992;Piso;Piso;PROMORA MADRID vende piso en barrio de Chamartín, zona El Viso, de 52 m², cocina integrada y baño. Enlace Tour Virtual: Coqueto y funcional estudio, listo para entrar a vivir, en El Viso. Moderno edificio con entrada por Paseo de la Habana y orientado a la zona residencial en la parte trasera, lo que le permite disfrutar del sol de mañana y la tranquilidad de esta zona tan exclusiva del barrio de Chamartín. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS. El distrito de Chamartín se encuentra situado en la zona noreste de Madrid. Distrito muy dinámico que discurre a lo largo del Paseo de la Castellana, eje central y centro neurálgico de la actividad empresarial de la capital madrileña en el que conviven diferentes estilos de vida y en el que destacan sus grandes avenidas, zonas residenciales, edificios oficiales, ministerios, embajadas, museos, auditorios de música, etc. El distrito se divide en seis barrios con características muy diferentes entre ellos, desde las zonas residenciales de lujo más exclusivas como El Viso o Nueva España hasta configuración típica de barrio como Prosperidad o Ciudad Jardín. Castilla e Hispanoamérica son el resto de barrios que conforman este emblemático distrito madrileño. En definitiva, se trata de un distrito ideal para aquellas personas que demandan vivienda de calidad sumada a una amplia gama de servicios, comercios, colegios, instalaciones deportivas, hoteles, oferta gastronómica y de ocio, hospitales, clínicas y una amplia red de transporte público. Lejos de quedarse anclado en el tiempo, el desarrollo empresarial e inmobiliario en la zona de la estación de Chamartín con la futura Operación Chamartín, auguran un futuro prometedor para inversores y particulares que quieran establecerse en esta zona de la capital.;914310431;barrio El Viso;425000;1;El Viso, Madrid;Promora Madrid;Profesional;El Viso;Madrid;Chamartín;-;8173;52;1;4;Sí;No;No;No;No;No;Sí;No;No
91584168;Piso;Piso;¡No pierdas la oportunidad de adquirir este fabuloso piso en muy buenas condiciones, listo para ser tu nuevo hogar! Gilmar Consulting Inmobiliario Viso-Chamartín presenta este espectacular bajo en Nueva España con todas las comodidades que estás buscando. Con una superficie construida de 593 metros cuadrados, esta impresionante vivienda cuenta con 4 habitaciones y 4 baños, ofreciéndote amplitud y confort para toda la familia. El bajo es exterior y muy luminoso, destacando por sus grandes ventanales que permiten la entrada de luz natural en todas las estancias. Al ingresar, serás recibido por un amplio salón y una cocina amueblada con máximas calidades, brindándote un espacio ideal para disfrutar de momentos de reunión y preparar deliciosas comidas. También encontrarás un baño de cortesía en esta planta. En la planta primera, encontrarás cuatro dormitorios, dos de ellos en suite, con el dormitorio principal que cuenta con un vestidor y un baño completo con bañera jacuzzi, proporcionando un ambiente de lujo y confort. Además de todas estas características, la vivienda cuenta con armarios empotrados y un trastero para mayor comodidad y espacio de almacenamiento. También incluye una plaza de garaje, asegurando un lugar seguro y cómodo para tu vehículo. Construido en el año 2014, este piso está en excelente estado, listo para ser entregado vacío y personalizado según tus preferencias. La vivienda cuenta con calefacción individual de bomba de frío/calor y aire acondicionado, asegurando así un ambiente agradable durante todo el año. Además, podrás disfrutar de las zonas comunes que ofrece el edificio, incluyendo una piscina climatizada, jacuzzi y sauna, así como vestuarios y baños para mayor comodidad y entretenimiento. No dejes pasar esta oportunidad de adquirir un piso en Nueva España con todas las comodidades y prestaciones que necesitas. ¡Contacta con nosotros hoy mismo para obtener más información y concertar una visita a esta exclusiva propiedad! Disponemos de más de 30 oficinas en Madrid, Marbella, Estepona, Puerto Banús, Sevilla, Cádiz, Jerez e islas Canarias. Nuestra sede central está ubicada en la calle Goya, 47. Durante más de 38 años hemos demostrado nuestra profesionalidad y atención exquisita. Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Oficina Viso- Chamartín: Nueva España, El Viso, Bernabéu-Hispanoamérica, Pío XII y Castilla). Llámanos, nosotros te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.;919384308;barrio Nueva España;2490000;4;Nueva España, Madrid;Gilmar Viso - Chamartín;Profesional;Nueva España;Madrid;Chamartín;-;4199;593;4;bj;Sí;No;Sí;No;Sí;Sí;Sí;Sí;No
101186919;Piso;Piso;Única Inmobiliaria Chamartín ofrece esta estupenda vivienda con perfecta ubicación en la zona de Bernabéu-Hispanoamérica.  Consta de hall, gran cocina con entrada independiente, dormitorio de servicio con baño y terraza, salón, comedor y despacho en distintos ambientes con salida a una de las terrazas, cuatro dormitorios dobles, principal en suite, y dos de ellos con terraza, y dos cuartos de baño adicionales. En el precio se incluyen dos plazas de garaje de acceso directo y un trastero de aproximadamente 17 m². La vivienda se encuentra integrada dentro de una estupenda finca con jardines y zona de juegos para niños, en una ubicación extraordinaria, con todos los servicios, transportes, colegios y dotaciones a un paso.  Hispanoamérica es un barrio del Distrito de Chamartín, situado en la zona noreste de Madrid. Sus límites son al norte la avenida de Alberto Alcocer y la avenida de Costa Rica, al sur con la avenida de Concha Espina, al oeste el paseo de la Castellana y al este con la avenida de la Paz (M-30). Ofrece una amplia gama de servicios, comercios, colegios, instalaciones deportivas, hoteles, restauración, hospitales y clínicas y un amplio sistema de transporte público, y alberga el Estadio Santiago Bernabéu, varias Embajadas, Administraciones Públicas y la sede de varias de las empresas más importantes de España. En Única Inmobiliaria, empresa de servicios personalizados con experiencia de más de 19 años y conocimiento profundo del sector en las zonas más exclusivas de Madrid, contamos con un dinámico equipo de profesionales con formación superior y experiencia en el asesoramiento personal. Nuestra larga trayectoria profesional nos permite ofrecer una excelente gestión y encontrar soluciones a las necesidades de cada cliente con el objetivo de conseguir su satisfacción y confianza. En Única Inmobiliaria cada cliente es “Único”. DISPONEMOS DE MÁS INMUEBLES EN ESTA ZONA QUE NO SE PUBLICAN EN IDEALISTA POR EXPRESO DESEO DE LOS PROPIETARIOS. PARA VERLOS PINCHE EN EL LOGO DE UNICA O ENTRE EN NUESTRA WEB unicainmobiliaria. com.;919389726;barrio Bernabéu-Hispanoamérica;1545000;5;Bernabéu-Hispanoamérica, Madrid;Única Consultoría Inmobiliaria;Profesional;Bernabéu-Hispanoamérica;Madrid;Chamartín;-;5459;283;4;2;Sí;No;No;Sí;Sí;Sí;No;Sí;Sí
101967218;Piso en Profesor Waksman;Piso;Walter Haus pone a la venta esta maravillosa vivienda reformada en la zona de Hispanoamérica-Bernabéu, ubicado en una 2ª planta exterior, con altura de 3ª planta. La vivienda consta de 175 m² construidos, distribuidos de la siguiente manera: recibidor con armario gabanero de gran capacidad, aseo de cortesía para invitados, amplio salón-comedor totalmente exterior y muy luminoso, cocina independiente totalmente equipada con electrodomésticos de alta gama, office con zona de lavado y habitación de servicio con baño propio.  En la zona de noche nos encontramos un distribuidor que da paso a tres dormitorios dobles, el principal con baño en suite con bañera y ducha, un segundo baño que da servicio a los dormitorios secundarios. El inmueble dispone de una reforma moderna y atemporal, con acabados de alta calidad, por lo que es fácilmente adaptable a cualquier estilo. Las características son: carpintería exterior con aislamiento térmico y acústico, carpintería interior lacada en blanco, aire acondicionado por conductos, suelos de tarima, armarios empotrados en todas las estancias, una cuidada iluminación y mucho almacenaje. La finca cuenta con portero físico todos los días de la semana, calefacción central con contadores individuales, portal representativo adaptado a personal con movilidad reducida. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y en Barcelona. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.;919384692;Profesor Waksman;1200000;4;Bernabéu-Hispanoamérica, Madrid;Walter Haus Madrid;Profesional;Bernabéu-Hispanoamérica;Madrid;Chamartín;-;6857;175;3;2;Sí;No;No;No;No;No;Sí;No;No
