Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
99592032;Piso en Fernan Gonzalez;Piso;Vivienda completamente nueva en la calle de Fernán González de 184 m2 exterior a gran patio de manzana. Se distribuye en hall de entrada, un gran salón comedor con acceso a una terraza de uso y disfrute, 4 dormitorios, cuarto de lavado, 2 baños, aseo y cocina independiente totalmente amueblada. Orientación este, dando a un gran patio de manzana, las estancias son luminosas. Dispone de calefacción central, aire acondicionado por conductos y armarios empotrados. Finca señorial con ascensor y portero físico. Excelentes comunicaciones, tiene varias líneas de autobús y metro (IBIZA L-9) prácticamente en la puerta, así mismo salida directa a la M-30. Cuenta con amplia variedad de servicios, colegios, comercios, restaurantes, zonas de ocio, y sobre todo ubicado en la mejor zona cerca de Goya y próximo al Parque del Retiro.  Disponemos de más de 35 oficinas en la Comunidad de Madrid, Costa del Sol, Málaga, Cádiz, Sevilla y Canarias. Nuestra sede central está ubicada en la calle Goya, 47.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.;919385510;FERNAN GONZALEZ;1195000;4;Ibiza, Madrid;Gilmar distrito Jerónimos-Retiro;Profesional;Ibiza;Madrid;Retiro;-;6495;184;3;4;Sí;No;No;Sí;No;No;Sí;No;No
100947304;Piso en Narváez;Piso;Piso de 158m2, con grandes posibilidades de reforma. Vivienda situada en una 3º planta exterior con ascensor. En el precio se incluye trastero y garaje con acceso directo desde la vivienda. El agua caliente y la calefacción son centrales. La finca cuenta con portero físico. La vivienda consta de un gran salón con acceso a terraza, 3 dormitorios (el principal con baño en suite), un segundo baño en la zona principal, cocina con terraza-tendedero y zona de servicio con un cuarto dormitorio y un tercer cuarto de baño. Todos los dormitorios tienen amplios armarios empotrados. La vivienda dispone de dos accesos. Uno a la zona principal y otro a la zona de servicio. Plaza de garaje y trastero incluido en precio. La finca, de 1969, dispone de 3 ascensores y es accesible para personas con movilidad reducida. La vivienda tiene una magnífica situación, muy cerca de la zona comercial de Goya, la Plaza de Felipe II o el barrio de Salamanca. Está también a escasos metros del Parque del Retiro. Es una zona muy bien comunicada, con estaciones de metro próximas y numerosas líneas de autobús. Además, está rodeada de todo tipo de servicios: supermercados, farmacias, colegios, centro de salud… y una gran oferta en restauración. Próximos a la vivienda están también el Hospital Universitario infantil Niño Jesús y el Hospital Universitario Gregorio Marañón. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Barrio de Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y Eixample, Zona Alta, Poblenou y Diagonal Mar en Barcelona. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.;919381850;Narváez;1150000;4;Ibiza, Madrid;Walter Haus Madrid;Profesional;Ibiza;Madrid;Retiro;-;7278;158;3;3;Sí;No;No;No;Sí;Sí;Sí;Sí;No
101066840;Piso;Piso;Estupendo piso en Adelfas de 99 m2 a estrenar. Consta de 3 dormitorios, 2 baños (el principal en suite), cocina y salón independiente con terraza de 3,00 metros. Exterior, orientación este. Se vende con plaza de garaje en finca. CARACTERÍSTICAS: Calefacción: Individual Gas Natural Ascensor Portero automático Estado de conservación: estrenar Adelfas es un barrio del distrito madrileño de Retiro. Se encuentra en su extremo sur, por lo que delimita con Pacífico al oeste, Niño Jesús al noroeste y Estrella al noreste. Se caracteriza por la reciente construcción de sus viviendas, se pueden encontrar modernas viviendas con garaje, piscina, etc. Es la zona mejor comunicada del distrito, teniendo salidas por carretera (A3 Valencia, M30…) y por calles principales (Doctor Esquerdo, Avenida de Mediterráneo…). Además cuenta con diversidad de comercios como supermercados, hoteles, etc. Las líneas de metro que dan servicio a este barrio son la 1 y la 6 con las estaciones de Pacífico (ambas líneas), y Conde de Casal (L6).  Disponemos de más de 35 oficinas en la Comunidad de Madrid, Costa del Sol, Málaga, Cádiz, Sevilla y Canarias. Nuestra sede central está ubicada en la calle Goya, 47.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.;919385510;barrio Adelfas;510000;3;Adelfas, Madrid;Gilmar distrito Jerónimos-Retiro;Profesional;Adelfas;Madrid;Retiro;-;5152;99;2;3;Sí;No;No;Sí;Sí;Sí;No;No;No
92166975;Piso;Piso;Estupendo y amplio piso en Niño Jesús de 179 m2. Orientado al Oeste esta vivienda nos recibe con un vestíbulo que nos da paso a un gran salón comedor con amplios ventanales y doble acceso. La cocina es amplia y está reformada. A continuación, nos encontramos dos dormitorios, uno de ellos en suite y otro baño completo.  Cuenta con calefacción central con contador individual, aire acondicionado, armarios empotrados en todas las habitaciones y en el pasillo. Vivienda exterior y muy luminosa. Dispone de trastero y plaza de garaje en el propio edificio.  Finca señorial con ascensor y portero físico. Disponemos de más de 35 oficinas en la Comunidad de Madrid, Costa del Sol, Málaga, Cádiz, Sevilla y Canarias. Nuestra sede central está ubicada en la calle Goya, 47.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.;919385510;barrio Niño Jesús;820000;2;Niño Jesús, Madrid;Gilmar distrito Jerónimos-Retiro;Profesional;Niño Jesús;Madrid;Retiro;-;4581;179;2;1;Sí;No;No;No;Sí;Sí;No;Sí;No
101834177;Piso;Piso;GILMAR pone a su disposición estupenda vivienda reformada con excelentes calidades, a estrenar de 121 metros en el barrio de Ibiza, exterior a gran patio de manzana, muy luminoso. Se distribuye en amplio hall de entrada, un gran salón comedor con cocina semi-integrada con elegantes puertas de cristal equipada con electrodomésticos, 3 dormitorios, uno de ellos con baño en suite y otro baño que da servicio a los 2 dormitorios dobles restantes.  Aire acondicionado por split en salón y suite principal y preinstalación en el resto de habitaciones. Calefacción individual. Excelentes comunicaciones, tiene varias líneas de autobús y metro (IBIZA L-9) prácticamente en la puerta, así mismo salida directa a la M-30. Cuenta con amplia variedad de servicios, colegios, comercios, restaurantes, zonas de ocio, y sobre todo ubicado en la mejor zona y próximo al Parque del Retiro. Disponemos de más de 35 oficinas en la Comunidad de Madrid, Costa del Sol, Málaga, Cádiz, Sevilla y Canarias. Nuestra sede central está ubicada en la calle Goya, 47. Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero. CARACTERÍSTICAS: Calefacción: Individual Gas Natural Aire acondicionado Ascensor Portero automático/físico Estado de conservación: reformado.;919385510;barrio Ibiza;770000;3;Ibiza, Madrid;Gilmar distrito Jerónimos-Retiro;Profesional;Ibiza;Madrid;Retiro;-;6364;121;2;8;Sí;No;No;No;No;No;Sí;No;No
98874854;Piso;Piso;Gilmar Retiro vende magnífica vivienda de 138 metros dando a un gran patio de manzana. Según accedemos al inmueble nos encontramos un amplio recibidor que nos da acceso por un lado a un dormitorio, baño y cocina. Y por otro lado también nos adentra en el salón-comedor con un amplio ventanal, otros 4 dormitorios y un baño completo.  Todas sus estancias tienen buen tamaño y cuentan con luminosidad. El inmueble cuenta con un trastero. Finca con ascensor y portero físico El barrio de Ibiza alterna edificios residenciales con agradables zonas verdes, entre las que destaca el Parque del Retiro. Cuenta también con una amplia dotación de comercios, restaurantes, cafeterías, lo que convierte a la zona en una de las más deseadas de la capital, con supermercados, colegios, instalaciones deportivas y centros de salud Estupenda comunicaciones por metro (Ibiza, Retiro, O Donnell y Sainz de Baranda), autobús y salida directa a la M-30. Disponemos de más de 35 oficinas en la Comunidad de Madrid, Costa del Sol, Málaga, Cádiz, Sevilla y Canarias. Nuestra sede central está ubicada en la calle Goya, 47.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.;919385510;barrio Ibiza;650000;5;Ibiza, Madrid;Gilmar distrito Jerónimos-Retiro;Profesional;Ibiza;Madrid;Retiro;-;4710;138;2;2;Sí;No;No;No;No;No;No;Sí;No
102220607;Piso en Calle del Doctor Esquerdo;Piso;¡No cobramos al comprador! Amplia vivienda exterior, magníficamente situada en plena plaza del Conde de Casal, en una de las de las mejores zonas del barrio de La estrella, distrito de Retiro, en esquina con Doctor Esquerdo. Amplio y luminoso, se distribuye en salón independiente, 3 dormitorios, 2 baños completos, gran cocina con puerta de servicio.  Terraza con vistas despejadas y espectaculares a la Glorieta de Conde de Casal Edificio del año 1960, con portal representativo, dos ascensores y portero físico, acceso exterior adaptado para personas con movilidad reducida. El piso necesita reforma y se ubica en un entorno privilegiado rodeado de toda clase de servicios: metro, autobuses, hospitales, farmacias, restaurantes, parques, tiendas, gimnasios, a 15 minutos caminando del Parque El Retiro. Sobre la zona y transporte: El barrio de Estrella pertenece al distrito de Retiro, en el este de Madrid. Linda, al norte, con la calle de O´Donnell, al este, con la avenida de la Paz, al sur, con la avenida del Mediterráneo, y, al oeste, con la calle del Doctor Esquerdo. El barrio alterna edificios residenciales con agradables zonas verdes, entre las que destaca el parque de Roma. Por su interior discurre la calle de la Estrella Polar, que comparte parte del nombre del barrio. Éste ofrece un fácil acceso en coche, gracias a su ubicación al lado de la autopista M-30 y la autovía A-3. Otras opciones de transporte son el autobús o el metro (Sainz de Baranda, Estrella y Conde de Casal).;919380325;Calle del Doctor Esquerdo;479000;3;Estrella, Madrid;Bafre Inmobiliaria;Profesional;Estrella;Madrid;Retiro;-;4165;115;2;8;Sí;No;No;Sí;No;No;Sí;No;No
102136271;Piso en Avenida de Menéndez Pelayo;Piso;Se vende este magnífico piso de 105 m² en avenida de Menéndez Pelayo, en frente del Parque del Retiro, en un edificio representativo del 1926, con escalera, puerta y molduras en perfecto estado de conservación originarias de la época.  La reforma realizada a la vivienda se ha hecho respetando los elementos antiguos de la casa, techos altos, suelo de pino melis y puertas de madera maciza.  Calefacción individual por gas natural. Aire acondicionado en salón y dormitorio principal. Cocina completamente equipada con electrodomésticos de alta gama. Actualmente, se encuentra dividido en salón comedor con cocina abierta, tres habitaciones y dos baños, pero permite fácilmente reforma de ampliación de salón, con dormitorio principal con baño en suite y dormitorio adicional con vestidor y baño incorporado. Es una zona muy bien comunicada, con estaciones de metro próximas y numerosas líneas de autobús. Además, está rodeada de todo tipo de servicios: supermercados, farmacias, colegios, centro de salud… y una gran oferta en restauración. Próximos a la vivienda están también el Hospital Universitario infantil Niño Jesús y el Hospital Universitario Gregorio Marañón. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Barrio de Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y Eixample, Zona Alta, Poblenou y Diagonal Mar en Barcelona. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación, lo que nos permite encontrar soluciones a las necesidades de cada cliente.;919381850;Avenida de Menéndez Pelayo;820000;3;Ibiza, Madrid;Walter Haus Madrid;Profesional;Ibiza;Madrid;Retiro;-;7810;105;2;5;Sí;No;No;No;No;No;Sí;Sí;No
101286346;Piso;Piso;Vivienda mágnífica frente a El Retiro Engel&Völkers ofrece esta magnífica vivienda emplazada en uno de los barrios más demandados de la capital. Situada en la quinta planta de un emblemático edificio del barrio de Ibiza, enfrente del parque del Buen Retiro, la casa tiene 100 m2, dispone de tres habitaciones y dos cuartos de baño, uno de ellos en suite, salón comedor y cocina integrada. Destacan los techos altos, las puertas de madera maciza, los suelos de pino Melis y los elementos tradiciones de la construcción original, lo que le confiere un carácter único. La vivienda es susceptible de reforma para una nueva distribución si se desea. Interior muy luminoso, todas las estancias disponen de luz natural y es muy tranquilo, con la ventaja de estar situado en una gran avenida. La propiedad incluye trastero. El barrio de Ibiza, en el distrito de Retiro, es un barrio residencial que cuenta con una amplia dotación de comercios, restaurantes, cafeterías, lo que convierte a la zona en una de las más animadas de la capital. Cuenta con todos los servicios necesarios: mercados y supermercados, centros de belleza, grandes almacenes, colegios, instalaciones deportivas y centros de salud, así como el Hospital Universitario Gregorio Marañón y el del Niño Jesús. El Parque del Buen Retiro es el auténtico protagonista de este barrio de Madrid. Este parque público, es uno de los lugares preferidos de los madrileños, considerado como una de las principales atracciones turísticas de la capital, y posee figuras arquitectónicas y paisajísticas desde el siglo XVII al XXI. Las comunicaciones y medios de transporte son excelentes. Dispone de varias líneas de autobuses urbanos y estaciones de metro como las de Ibiza, Retiro y Sainz de Baranda, así como salida directa a la M-30.;919386811;barrio Ibiza;820000;3;Ibiza, Madrid;Engel & Völkers Madrid;Profesional;Ibiza;Madrid;Retiro;-;7736;106;2;5;Sí;No;No;No;No;No;Sí;Sí;No
102001858;Ático en Calle del Alcalde Sainz de Baranda;Ático;Lucas Fox se complace en presentar en exclusiva este ático de 97m² construidos que cuenta con una magnífica terraza al cuál le añade más 26m² con unas impresionantes vistas hacia el sur, lo que le permite disfrutar del sol durante todo el día. Ubicado en la octava planta de un edificio construido en 1951, este ático ofrece la oportunidad de entrar a vivir directamente o de llevar a cabo una reforma a medida, convirtiéndolo en un hogar personalizado que se ajuste a sus gustos y preferencias. Cabe mencionar que originalmente era una vivienda de tres habitaciones que fue convertida en dos habitaciones en algún momento.  Este luminoso y excepcional piso cuenta con una distribución versátil que ofrece infinitas posibilidades de reforma, permitiéndole adaptarlo según sus gustos y necesidades. En la zona de día, encontrará un amplio salón-comedor y una cocina independiente, mientras que en la zona de noche, hay dos dormitorios que brindan la posibilidad de crear dormitorios tipo suite, cada uno con su propio baño privado.  Entre las características destacadas, se encuentra la altura del techo de 2,76 metros, que proporciona una sensación de amplitud y luminosidad. Además, se incluye calefacción individual de gas natural, cuatro aparatos de aire acondicionado distribuidos por toda la vivienda, ventanas Climalit y persianas automáticas. Por último, se ofrece la ventaja adicional de contar con la opción de adquirir una plaza de aparcamiento en un parking ubicado a solo dos minutos a pie.  No deje pasar la oportunidad de convertir este ático en la casa de sus sueños. Póngase en contacto hoy mismo para obtener más información. Tenga en cuenta que, en la Comunidad de Madrid, la compra de una vivienda conlleva un incremento del precio de entre un 7 % y un 11 % en concepto de impuestos y gastos adicionales.  Un alto porcentaje de los inmuebles que tenemos en esta zona solo están publicados en nuestra web. Para ver toda nuestra cartera, visite nuestra web.;919382337;Calle del Alcalde Sainz de Baranda;995000;2;Ibiza, Madrid;Lucas Fox Madrid;Profesional;Ibiza;Madrid;Retiro;-;8089;123;2;8;Sí;No;No;Sí;No;No;Sí;No;No
